Time / s,Power / W
654,-13280.455973572527
655,-19106.02095168419
656,-20886.487703703708
657,-15573.448831580557
658,-10061.648075214825
659,-10914.720250316737
660,-15878.00083114235
661,-16950.144166285627
662,-13966.884641396602
663,-7248.5733918419455
664,-2400.0474943248937
665,103.03292181069992
666,2337.7827804093313
667,6944.304736320684
668,12971.101277911139
669,15557.100804145712
670,18453.554488645026
671,15013.379667733576
672,11328.119131992074
673,12039.765432098766
674,12759.175106691055
675,8822.85627190976
676,3922.4423084109703
677,-1052.2107204861034
678,-10417.168659979417
679,-15491.334200938785
680,-16927.721336934155
681,-15236.718850968318
682,-8171.6847448559665
683,-4537.447037268046
684,-1875.5890862268554
685,4087.3738767361147
686,8423.224575810185
687,8820.95639190624
688,9404.650199014539
689,10152.288950312457
690,6913.296558191873
691,3457.5081128472234
692,3696.657829320516
693,5319.192243312759
694,5038.232125578708
695,1254.042547020262
696,-9013.675888888893
697,-11236.066330992317
698,-7797.468770061727
699,-5107.624497878087
700,-1691.698330723216
701,-50.60117040085429
702,812.481159979425
703,956.5140817901215
704,-482.29811405226155
705,-3059.795528437452
706,-4974.314318398967
707,-4519.445645378465
708,-2082.6037396738298
709,926.0781893004105
710,5277.41672016461
711,10138.76093036266
712,7908.369149288885
713,1298.699474489404
714,-3685.717768480415
715,-8309.574290492586
716,-5499.335888948427
717,-966.9259259259263
718,1419.9053497942389
719,4216.048165771224
720,6847.58055174516
721,6789.8770126624195
722,6728.081660017529
723,6439.262755594133
724,8035.851851851854
725,12221.797412761009
726,18504.86292182736
727,20920.5156255144
728,16316.502125000012
729,13008.566871913594
730,7512.638663618341
731,3840.3077203527437
732,3564.5735596707955
733,3877.370752610117
734,4193.00243377534
735,4818.199034919896
736,5763.45677736578
737,5564.4146694696865
738,4104.099832342627
739,6839.140565779313
740,10175.902554205239
741,9192.077763755546
742,6145.007854900164
743,3891.1242053921715
744,3578.281145576136
745,3578.281145576136
746,4893.035656661999
747,6921.857648764962
748,8385.843875000002
749,7542.221596917378
750,4888.5376291152215
751,3180.718699074094
752,1806.376645207001
753,-592.6446040976117
754,-2280.361273945936
755,-3907.4105613473653
756,-9249.970630117828
757,-18113.911805153082
758,-23427.277408500515
759,-22081.606590475436
760,-19061.837560490017
761,-15962.705391782405
762,-10915.473505868007
763,-5558.061219204864
764,-637.7078189300411
765,4150.592419448256
766,7725.495503734187
767,9371.985698833541
768,11172.428710257582
769,14910.817819234879
770,21728.59460989416
771,25832.35222579684
772,27680.65063020834
